00:19:19:23	00:19:21:19	我在魚池裡撈了半天
00:19:21:19	00:19:25:00	撈不到一尾大隻的
00:19:25:00	00:19:26:03	原來去魚池裡
00:19:26:03	00:19:28:04	抓魚的人是你喔
00:19:28:04	00:19:31:25	我們阿駝還以為是阿祥去撈魚
00:19:31:25	00:19:34:22	把他打個半死
00:19:34:22	00:19:40:18	可憐的阿祥 害你被揍
00:19:40:18	00:19:43:01	說的跟真的一樣
00:19:43:01	00:19:45:07	伯母 趁熱啦
00:19:45:07	00:19:45:29	我不是故意
00:19:45:29	00:19:49:02	拿這小塊魚肉來給你
00:19:49:02	00:19:50:26	這個年節不好 人吃不飽
00:19:50:26	00:19:52:29	連魚也養不大
00:19:52:29	00:19:55:02	不過這魚肉很嫩
00:19:55:02	00:19:56:22	你吃吃看就知道了
00:19:56:22	00:19:58:08	謝謝啦
00:19:58:08	00:19:59:20	你吃了就知道了
00:19:59:20	00:20:01:24	我先回去了
00:20:01:24	00:20:04:09	好啦 你慢走
00:20:07:16	00:20:09:16	跟你說不要撿地上的彈珠
00:20:09:16	00:20:12:11	你不聽 才會被三叔打成這樣
00:20:12:11	00:20:14:16	打了就算了
00:20:14:16	00:20:17:08	彈珠還在啊
00:20:18:00	00:20:19:29	很痛 不能用手摸
00:20:19:29	00:20:21:19	只能用眼睛看
00:20:21:19	00:20:27:13	一條 兩條 三條 四條
00:20:27:13	00:20:29:14	還有第五條耶
00:20:30:14	00:20:33:06	有什麼好看的
00:20:46:20	00:20:48:05	不要動啦
00:20:48:05	00:20:50:09	媽 很痛
00:20:52:27	00:20:55:01	你現在知道叫媽了
00:20:55:01	00:20:56:19	你帶頭搗蛋的時候
00:20:56:19	00:20:59:08	怎麼都沒想到媽媽
00:20:59:08	00:21:01:11	跟你說好幾次了
00:21:01:11	00:21:04:09	那條圳溝淹死過一個小孩
00:21:04:09	00:21:05:19	你偏偏不聽
00:21:05:19	00:21:07:25	要帶弟弟妹妹去那邊玩
00:21:07:25	00:21:09:22	那天圳溝的水很淺
00:21:09:22	00:21:11:26	才到我肚子這裡而已
00:21:11:26	00:21:13:13	圳溝的水什麼時候要流下來
00:21:13:13	00:21:15:09	你怎麼會知道
00:21:15:09	00:21:17:26	你長得比較高大
00:21:17:26	00:21:19:19	當然淹不到你
00:21:19:19	00:21:22:15	但是黑肉跟老生
00:21:22:15	00:21:24:06	萬一傻傻跟著你跳下去
00:21:24:06	00:21:27:14	如果發生意外怎麼辦
00:21:29:06	00:21:32:29	你是我這個繼母所生的
00:21:32:29	00:21:35:17	阿媽跟這些長輩
00:21:35:17	00:21:37:19	能夠這麼疼你
00:21:37:19	00:21:39:27	你要心存感謝
00:21:39:27	00:21:42:11	也要懂事一點
00:21:42:11	00:21:45:25	你就要做弟弟妹妹的好模範
00:21:45:25	00:21:48:06	不要每天帶頭搗蛋
00:21:48:06	00:21:51:18	讓大人生氣煩惱 知道嗎
00:21:52:17	00:21:53:26	大伯回來了
00:21:53:26	00:21:57:14	哥 大伯回來了
00:22:00:16	00:22:02:23	你要乖一點
00:22:02:23	00:22:06:19	不要再讓你三叔擔心
00:22:07:15	00:22:09:22	萬一你三叔再教訓你
00:22:09:22	00:22:12:10	媽不能說什麼
00:22:12:10	00:22:17:10	不過媽這裡會痛
00:22:20:00	00:22:23:02	媽 我跟你說一個秘密喔
00:22:23:02	00:22:26:02	三叔打我 我都不痛
00:22:26:02	00:22:29:29	所以你也不要痛 好不好
00:22:30:28	00:22:33:27	好啦 去幫你大伯提餿水
00:22:33:27	00:22:35:10	快去
00:22:41:27	00:22:43:07	大伯...
00:22:43:07	00:22:43:28	你們不要吵了
00:22:43:28	00:22:44:29	不要搖啦...
00:22:44:29	00:22:46:09	這樣餿水會溢出來啦
00:22:46:09	00:22:47:09	你有買糖果嗎
00:22:47:09	00:22:48:08	我要吃糖果
00:22:48:08	00:22:49:19	好啦...不要再吵了
00:22:49:19	00:22:50:26	大伯 我要吃糖果
00:22:50:26	00:22:52:03	餿水會溢出來啦
00:22:52:03	00:22:53:27	好了啦 你們不要再吵了啦
00:22:53:27	00:22:55:20	乖一點 我才會買糖果給你們吃
00:22:55:20	00:22:56:29	大伯 我幫你提
00:22:56:29	00:22:59:02	我要吃糖果啦
00:22:59:02	00:23:00:29	好啦...
00:23:00:29	00:23:02:28	你跟阿祥提這個小桶的
00:23:02:28	00:23:04:21	大伯提大桶的
00:23:04:21	00:23:06:01	快點 幫忙...
00:23:06:01	00:23:07:11	哥 我來幫你忙
00:23:07:11	00:23:08:23	要提好喔
00:23:08:23	00:23:10:12	不要讓它溢出來了
00:23:10:12	00:23:12:16	溢出來就糟糕了
00:23:12:16	00:23:14:09	小心一點喔
00:23:18:16	00:23:21:17	老生 世杰 看什麼啦
00:23:21:17	00:23:23:21	貪吃鬼 快來幫忙
00:23:23:21	00:23:27:00	對啊 快來幫忙啦
00:23:30:15	00:23:32:25	快來幫忙啦
00:23:44:04	00:23:46:13	來喔 快點 快來吃
00:23:46:13	00:23:48:03	這三隻到了過年
00:23:48:03	00:23:51:20	看有沒有辦法長到七 八十公斤
00:23:51:20	00:23:53:18	還要那麼久喔
00:23:53:18	00:23:56:17	要到過年才能吃豬肉
00:23:56:17	00:23:58:11	豬養大了是要拿去賣的
00:23:58:11	00:24:00:24	不是要殺來吃的
00:24:00:24	00:24:03:09	對不對 哥
00:24:03:09	00:24:06:02	還是我們錦花聰明
00:24:06:28	00:24:08:24	來 給我
00:24:10:19	00:24:12:24	我們都有幫忙養豬
00:24:12:24	00:24:14:10	為什麼豬養大了
00:24:14:10	00:24:16:05	我們不能吃豬肉
00:24:16:05	00:24:17:19	對啊...
00:24:17:19	00:24:20:21	大伯跟我阿爸養豬是要賺錢
00:24:20:21	00:24:24:04	又不是要讓我們吃豬肉
00:24:30:28	00:24:32:22	次郎說他生日
00:24:32:22	00:24:36:06	大伯母都會煮豬腳麵線給他吃
00:24:38:28	00:24:43:01	街上的孩子就是比較好命
00:24:45:20	00:24:47:02	將來有一天
00:24:47:02	00:24:49:26	餅店生意越來越好
00:24:49:26	00:24:52:29	我阿爸跟三叔就會賺大錢
00:24:52:29	00:24:55:28	說不定我們可以搬去街上住
00:24:55:28	00:24:56:29	跟次郎一樣
00:24:56:29	00:24:58:19	變成街上的孩子喔
00:24:58:19	00:25:01:18	真的喔
00:25:01:18	00:25:03:25	慘了 阿媽把大伯買的點心
00:25:03:25	00:25:06:14	都吃完了
00:25:06:14	00:25:10:15	阿媽...
